Date,Open,High,Low,Close,Volume
,576.72,579.71,573.21,579.7,0.0
,579.7,579.7,579.7,579.7,0.0
,579.7,579.7,579.7,579.7,0.0
,579.7,583.79,579.7,583.25,0.0
,583.25,586.71,581.5,581.5,0.0
1995-01-11,581.5,584.24,581.04,584.22,0.0
1995-02-11,584.22,589.72,584.22,589.72,0.0
1995-03-11,589.72,590.57,588.65,590.57,0.0
1995-04-11,590.57,590.57,590.57,590.57,0.0
1995-05-11,590.57,590.57,590.57,590.57,0.0
1995-06-11,590.57,590.64,588.31,588.46,0.0
1995-07-11,588.46,588.46,584.37,586.32,0.0
1995-08-11,586.32,591.71,586.32,591.71,0.0
1995-09-11,591.71,593.9,590.91,593.26,0.0
1995-10-11,593.26,593.26,590.39,592.72,0.0
1995-11-11,592.72,592.72,592.72,592.72,0.0
1995-12-11,592.72,592.72,592.72,592.72,0.0
,592.72,593.72,590.58,592.3,0.0
,592.3,592.3,589.22,589.29,0.0
,589.29,593.96,588.36,593.96,0.0
,593.96,597.83,593.52,597.34,0.0
,597.34,600.07,597.34,600.07,0.0
,600.07,600.07,600.07,600.07,0.0
,600.07,600.07,600.07,600.07,0.0
,600.07,600.37,596.22,596.85,0.0
,596.27,600.26,595.42,600.24,0.0
,600.24,600.7,598.4,598.4,0.0
,598.4,598.4,598.4,598.4,0.0
,598.4,600.24,598.4,599.97,0.0
,599.97,599.97,599.97,599.97,0.0
,599.97,599.97,599.97,599.97,0.0
,599.97,603.35,599.97,601.32,0.0
,601.32,603.68,599.03,603.68,0.0
,606.45,607.66,605.47,607.64,0.0
,607.64,608.69,605.37,605.37,0.0
1995-01-12,605.37,608.11,605.37,606.98,0.0
1995-02-12,606.98,606.98,606.98,606.98,0.0
1995-03-12,606.98,606.98,606.98,606.98,0.0
1995-04-12,606.98,613.83,606.84,613.68,0.0
1995-05-12,613.68,618.48,613.14,617.68,0.0
1995-06-12,617.68,621.11,616.69,620.18,0.0
1995-07-12,620.18,620.19,615.21,616.17,0.0
1995-08-12,616.17,617.82,614.32,617.48,0.0
1995-09-12,617.48,617.48,617.48,617.48,0.0
1995-10-12,617.48,617.48,617.48,617.48,0.0
1995-11-12,617.48,620.9,617.14,619.52,0.0
1995-12-12,619.52,619.55,617.68,618.78,0.0
,618.78,622.02,618.27,621.69,0.0
,621.69,622.88,616.13,616.92,0.0
,616.92,617.72,614.46,616.34,0.0
,616.34,616.34,616.34,616.34,0.0
,616.34,616.34,616.34,616.34,0.0
,616.34,616.34,606.13,606.81,0.0
,606.81,611.94,605.05,611.93,0.0
,611.93,614.27,605.93,605.94,0.0
,605.94,610.52,605.94,610.49,0.0
,610.49,613.5,610.45,611.95,0.0
,611.95,611.95,611.95,611.95,0.0
,611.95,611.95,611.95,611.95,0.0
,611.95,611.95,611.95,611.95,0.0
,611.96,614.5,611.96,614.3,0.0
,614.3,615.73,613.75,614.53,0.0
,614.53,615.5,612.4,614.12,0.0
,614.12,615.93,612.36,615.93,0.0
,615.93,615.93,615.93,615.93,0.0
,615.93,615.93,615.93,615.93,0.0
1996-01-01,615.93,615.93,615.93,615.93,0.0
1996-02-01,615.93,620.74,613.17,620.73,0.0
1996-03-01,620.73,623.25,619.56,621.32,0.0
1996-04-01,621.32,624.49,613.96,617.7,0.0
1996-05-01,617.7,617.7,612.02,616.71,0.0
1996-06-01,616.71,616.71,616.71,616.71,0.0
1996-07-01,616.71,616.71,616.71,616.71,0.0
1996-08-01,616.71,618.46,616.49,618.46,0.0
1996-09-01,618.46,619.15,608.21,609.45,0.0
